AL, 26, 2020100312, 03, CLP5,  84, 171N,  825W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, CLP5,  96, 179N,  839W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, CLP5, 108, 189N,  851W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, CLP5, 120, 198N,  861W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03,  CMC,   0, 128N,  713W,  23, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, CTCX,   0, 124N,  706W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0,    0,    0, 107,   0,   0, 
AL, 26, 2020100312, 03, DSHP,   0, 134N,  706W,  25,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, DSHP,  12, 143N,  721W,  31,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, DSHP,  24, 154N,  736W,  41,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, DSHP,  36, 163N,  751W,  50,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, DSHP,  48, 172N,  766W,  61,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, DSHP,  60, 182N,  783W,  71,    0, HU,   0,    ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, DSHP,  72, 193N,  805W,  77,    0, HU,   0,    ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, DSHP,  84, 206N,  826W,  83,    0, HU,   0,    ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, DSHP,  96, 219N,  841W,  78,    0, HU,   0,    ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, DSHP, 108, 232N,  852W,  92,    0, HU,   0,    ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, DSHP, 120, 240N,  861W,  94,    0, HU,   0,    ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, DSHP, 132,   0N,    0W,  94,    0, HU,   0,    ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, DSHP, 144,   0N,    0W,  90,    0, HU,   0,    ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, DSHP, 156,   0N,    0W,  85,    0, HU,   0,    ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, DSHP, 168,   0N,    0W,  78,    0, HU,   0,    ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, IVCN,   0,   0N,    0W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, IVCN,  12,   0N,    0W,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, IVCN,  24,   0N,    0W,  36,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, IVCN,  36,   0N,    0W,  44,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, IVCN,  48,   0N,    0W,  53,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, IVCN,  60,   0N,    0W,  62,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, IVCN,  72,   0N,    0W,  71,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, IVCN,  84,   0N,    0W,  80,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, IVCN,  96,   0N,    0W,  84,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, IVCN, 108,   0N,    0W,  95,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, IVCN, 120,   0N,    0W,  97,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, IVCN, 132,   0N,    0W,  95,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, IVCN, 144,   0N,    0W,  87,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, IVCN, 156,   0N,    0W,  79,    0,   ,   0,    ,    0,    0,    0,    0, 
